price,price_per_person,price_bucket,minimum_nights,availability_365,instant_bookable,property_type,room_type,room_type_category,accommodates,bedrooms,beds,neighbourhood_cleansed,is_central,latitude,longitude,host_is_superhost,host_experience_level,host_response_rate,host_acceptance_rate,host_since,first_review,last_review,review_scores_cleanliness,review_scores_rating,rating_category,number_of_reviews,reviews_per_month,days_since_last_review,review_scores_checkin,review_scores_communication,review_scores_location,listing_age_days,has_wifi,has_kitchen,has_ac,has_breakfast,has_elevator,has_pool
1650.0,825.0,Affordable,2,304,0,Private room in serviced apartment,Private room,Private,2,1.0,1.0,Bang Rak,0,13.71934,100.5176,1.0,Expert,100.0,78.0,2010-10-15,2011-03-16,2024-11-29,4.86,4.8,Excellent,36,0.21,171.0,4.83,4.89,4.77,5178,1,1,1,0,1,0
1536.0,768.0,Affordable,2,357,0,Room in hostel,Hotel room,Hotel,2,1.0,1.0,Sathon,1,13.71802,100.51539,1.0,Expert,100.0,78.0,2010-10-15,2011-02-09,2024-03-24,4.85,4.8,Excellent,210,1.24,421.0,4.87,4.85,4.74,5213,1,0,1,1,0,0
5601.0,1120.2,Standard,28,315,0,Entire rental unit,Entire home/apt,Entire,5,3.0,3.0,Khlong Toei,1,13.73378,100.56303,0.0,Expert,0.0,0.0,2011-04-30,2011-10-04,2020-01-07,4.85,4.77,Good,147,0.91,1959.0,4.86,4.89,4.86,4976,1,1,1,0,1,1
2220.0,1110.0,Affordable,3,365,0,Private room in rental unit,Private room,Private,2,1.0,1.0,Phra Khanong,0,13.70169,100.5977,0.0,Expert,100.0,99.0,2011-08-12,,,0.0,0.0,No Rating,0,0.0,-1.0,0.0,0.0,0.0,-1,1,1,1,0,1,1
1810.0,452.5,Affordable,30,331,0,Entire rental unit,Entire home/apt,Entire,4,2.0,2.0,Khlong San,0,13.71905,100.50414,1.0,Expert,100.0,93.0,2012-02-01,2012-06-11,2023-04-07,4.74,4.79,Good,81,0.53,773.0,4.66,4.75,4.75,4725,1,1,1,0,1,1
1878.0,939.0,Affordable,15,362,0,Entire condo,Entire home/apt,Entire,2,1.0,1.0,Ratchathewi,1,13.75983,100.54134,0.0,Expert,100.0,82.0,2010-05-08,2012-04-07,2024-09-17,4.82,4.86,Excellent,65,0.42,244.0,4.97,4.91,4.66,4790,1,1,1,0,1,1
1366.0,1366.0,Affordable,30,365,0,Private room in rental unit,Private room,Private,1,1.0,1.0,Rat Burana,0,13.68568,100.49231,0.0,Expert,100.0,99.0,2011-05-11,,,0.0,0.0,No Rating,0,0.0,-1.0,0.0,0.0,0.0,-1,0,0,0,0,0,0
1200.0,600.0,Affordable,1,365,0,Private room in rental unit,Private room,Private,2,1.0,1.0,Lat Krabang,0,13.721868,100.771713,0.0,Expert,0.0,74.0,2011-06-15,2014-11-17,2024-07-10,4.7,4.63,Good,71,0.58,313.0,4.83,4.7,4.56,3836,1,1,0,0,0,0
1090.0,545.0,Affordable,7,80,0,Entire rental unit,Entire home/apt,Entire,2,1.0,1.0,Bang Rak,0,13.7285,100.52313,0.0,Expert,100.0,79.0,2009-12-01,2012-01-27,2024-11-18,4.3,4.2,Fair,74,0.47,182.0,4.21,4.18,4.34,4861,1,1,0,0,1,0
1050.0,525.0,Affordable,3,159,0,Entire guesthouse,Entire home/apt,Entire,2,1.0,1.0,Bang Sue,0,13.83148,100.52102,1.0,Expert,100.0,100.0,2011-07-15,2013-01-18,2024-03-08,4.92,5.0,Excellent,25,0.17,437.0,4.88,4.96,4.6,4504,1,1,1,0,0,1
888.0,444.0,Budget,358,365,0,Entire rental unit,Entire home/apt,Entire,2,1.0,1.0,Chatu Chak,0,13.80926,100.56892,0.0,Expert,100.0,99.0,2010-07-21,2012-03-11,2019-08-04,4.92,4.9,Excellent,56,0.36,2115.0,4.87,4.9,4.25,4817,1,1,1,0,1,0
1421.0,710.5,Affordable,1,357,0,Private room in rental unit,Private room,Private,2,1.0,1.0,Sathon,1,13.71782,100.51622,1.0,Expert,100.0,78.0,2010-10-15,2012-04-09,2024-12-17,4.74,4.62,Good,47,0.3,153.0,4.91,4.91,4.66,4788,1,1,1,0,1,0
850.0,425.0,Budget,1,355,0,Entire rental unit,Entire home/apt,Entire,2,1.0,1.0,Bang Kho laen,0,13.70068,100.5228,0.0,Expert,100.0,98.0,2012-04-13,2013-11-25,2024-04-16,4.79,4.68,Good,29,0.21,398.0,4.86,4.9,4.03,4193,1,0,0,0,0,0
854.0,284.6666666666667,Budget,1,328,1,Entire rental unit,Entire home/apt,Entire,3,2.0,1.0,Yan na wa,0,13.69673,100.53202,0.0,Expert,100.0,98.0,2012-04-13,2012-06-16,2019-03-04,4.7,4.56,Good,35,0.23,2268.0,4.94,4.94,4.24,4720,1,1,1,0,0,0
1063.0,531.5,Affordable,2,175,0,Entire condo,Entire home/apt,Entire,2,0.0,2.0,Bang Kho laen,0,13.69949,100.52725,1.0,Expert,100.0,90.0,2013-04-06,2014-12-07,2024-12-09,4.87,4.74,Good,31,0.25,161.0,4.9,4.81,4.13,3816,0,1,0,0,0,0
700.0,350.0,Budget,180,365,1,Entire loft,Entire home/apt,Entire,2,1.0,1.0,Bang Kho laen,0,13.70218,100.52254,0.0,Expert,100.0,98.0,2012-04-13,2012-11-09,2023-04-15,4.69,4.64,Good,43,0.29,765.0,4.8,4.83,4.15,4574,1,1,1,0,0,0
4098.0,683.0,Standard,30,365,0,Entire condo,Entire home/apt,Entire,6,3.0,4.0,Chatu Chak,0,13.80994,100.5651,0.0,Expert,100.0,99.0,2012-06-13,,,0.0,0.0,No Rating,0,0.0,-1.0,0.0,0.0,0.0,-1,1,1,1,0,1,0
4357.0,871.4,Standard,1,355,0,Entire serviced apartment,Entire home/apt,Entire,5,2.0,2.0,Phaya Thai,0,13.7736,100.54079,1.0,Expert,100.0,100.0,2011-12-17,2015-03-25,2024-12-16,4.81,4.84,Excellent,500,4.21,154.0,4.94,4.92,4.66,3708,1,1,1,0,1,0
1028.0,257.0,Affordable,2,80,0,Entire rental unit,Entire home/apt,Entire,4,1.0,2.0,Bang Kapi,0,13.76234,100.64894,0.0,Expert,100.0,100.0,2013-05-30,,,0.0,0.0,No Rating,0,0.0,-1.0,0.0,0.0,0.0,-1,1,0,1,0,0,0
3586.0,1793.0,Standard,28,316,1,Entire rental unit,Entire home/apt,Entire,2,1.0,1.0,Parthum Wan,0,13.74088,100.54102,0.0,Expert,100.0,100.0,2013-03-15,2013-06-13,2024-10-10,4.84,4.86,Excellent,125,0.89,221.0,4.87,4.93,4.96,4358,1,1,0,0,1,0
2500.0,833.3333333333334,Affordable,3,332,0,Entire condo,Entire home/apt,Entire,3,1.0,1.0,Vadhana,1,13.73595,100.58375,1.0,Expert,100.0,91.0,2012-02-19,2012-12-11,2024-09-03,4.78,4.71,Good,63,0.43,258.0,4.65,4.7,4.79,4542,1,1,1,0,1,0
12000.0,2000.0,Luxury,28,270,0,Entire villa,Entire home/apt,Entire,6,3.0,3.0,Vadhana,1,13.73668,100.56693,0.0,Expert,100.0,99.0,2012-07-18,2013-07-29,2023-04-30,4.5,4.75,Good,4,0.03,750.0,5.0,5.0,5.0,4312,1,1,1,0,0,0
